"species_list"	"habitat_code"
"311"	"Stefania riveroi"	"1.9 3.7 5.1 6"
"312"	"Stefania schuberti"	"1.9 5.1"
"313"	"Hemisus guttatus"	"15.9 2.1 2.2 3.4 4.4 5.1 5.2 5.4 5.6 5.8"
"314"	"Bokermannohyla vulcaniae"	"1.9"
"315"	"Charadrahyla nephila"	"1.6 1.9 5.1"
"316"	"Charadrahyla taeniopus"	"1.9 5.1"
"317"	"Dendropsophus stingi"	"14.2 14.6 4.6 5.4 5.7 5.8"
"318"	"Duellmanohyla schmidtorum"	"1.4 1.6 1.9 5.1"
"319"	"Ecnomiohyla miliaria"	"1.6 1.9"
"320"	"Exerodonta juanitae"	"1.6 1.9 5.2"
"321"	"Exerodonta melanomma"	"1.9 5.1 5.2"
"322"	"Exerodonta pinorum"	"1.9 5.1"
"323"	"Exerodonta xera"	"1.9 3.5 5.2"
"324"	"Hyla walkeri"	"1.9 4.6 5.8"
"325"	"Hyloscirtus lindae"	"14.2 14.4 14.6 1.9 5.1"
"326"	"Hyloscirtus platydactylus"	"14.6 1.9 5.1"
"327"	"Hyloscirtus torrenticola"	"1.6 1.9 5.1 5.4"
"328"	"Hypsiboas heilprini"	"14.2 14.3 1.6 1.9 5.1 5.4"
"329"	"Litoria andiirrmalin"	"1.6 5.1"
"330"	"Litoria aurea"	"13.5 14.2 14.5 15.1 15.2 15.6 5.1 5.2 5.4 5.5 5.6 5.7 5.8 9.10"
"331"	"Litoria becki"	"1.9 5.1"
"332"	"Litoria daviesae"	"1.5 1.6 3.5 5.1"
"333"	"Litoria freycineti"	"17 3.5 5.4 5.5 5.6 5.7 5.8"
"334"	"Litoria lutea"	"1.6"
"335"	"Litoria olongburensis"	"17 1.8 5.4 5.5 5.6 5.7 5.8"
"336"	"Litoria quadrilineata"	"14.5 5.4"
"337"	"Litoria subglandulosa"	"1.4 14.2 1.6 1.9 3.4 5.1"
"338"	"Litoria wisselensis"	"5.5 5.6 6"
"339"	"Nyctimystes avocalis"	"1.6 5.1"
"340"	"Nyctimystes rueppelli"	"1.6 1.9 5.1"
"341"	"Osteopilus pulchrilineatus"	"14.1 14.2 14.3 15.7 1.6 1.9 4.5 5.1 5.2 5.4 5.7 5.8"
"342"	"Osteopilus vastus"	"14.2 14.3 1.6 1.9 5.1 5.4 5.7"
"343"	"Tepuihyla rimarum"	"3.7 5.1 5.4 5.8 6"
"344"	"Tlalocohyla godmani"	"1.9 5.2"
"345"	"Afrixalus enseticola"	"14.3 14.4 1.9 4.7 5.4 5.8"
"346"	"Afrixalus morerei"	"14.2 1.9 4.7 5.4"
"347"	"Afrixalus sylvaticus"	"14.3 14.6 1.5 1.6 5.8"
"348"	"Afrixalus uluguruensis"	"1.6 1.9 5.1 5.4 5.8"
"349"	"Callixalus pictus"	"1.9 5.8"
"350"	"Hyperolius burgessi"	"1.6 5.7 5.8"
"351"	"Hyperolius constellatus"	"1.9 4.7 5.4"
"352"	"Hyperolius endjami"	"1.6 1.8 1.9 5.3 5.7 5.8"
"353"	"Hyperolius inyangae"	"1.9 5.4"
"354"	"Hyperolius laurenti"	"1.6 5.1"
"355"	"Hyperolius minutissimus"	"1.9 4.7 5.4 5.8"
"356"	"Hyperolius polystictus"	"1.6 5.1"
