"species_list"	"threat_count"
"337"	"Litoria subglandulosa"	"6"
"338"	"Litoria wisselensis"	"0"
"339"	"Nyctimystes avocalis"	"3"
"340"	"Nyctimystes rueppelli"	"1"
"341"	"Osteopilus pulchrilineatus"	"6"
"342"	"Osteopilus vastus"	"5"
"343"	"Tepuihyla rimarum"	"0"
"344"	"Tlalocohyla godmani"	"5"
"345"	"Afrixalus enseticola"	"4"
"346"	"Afrixalus morerei"	"4"
"347"	"Afrixalus sylvaticus"	"3"
"348"	"Afrixalus uluguruensis"	"3"
"349"	"Callixalus pictus"	"4"
"350"	"Hyperolius burgessi"	"3"
"351"	"Hyperolius constellatus"	"6"
"352"	"Hyperolius endjami"	"3"
"353"	"Hyperolius inyangae"	"3"
"354"	"Hyperolius laurenti"	"3"
"355"	"Hyperolius minutissimus"	"5"
"356"	"Hyperolius polystictus"	"0"
"357"	"Hyperolius riggenbachi"	"4"
"358"	"Hyperolius spinigularis"	"3"
"359"	"Hyperolius viridigulosus"	"3"
"360"	"Kassina arboricola"	"3"
"361"	"Kassina lamottei"	"4"
"362"	"Morerella cyanophthalma"	"5"
"363"	"Paracassina kounhiensis"	"2"
"364"	"Leiopelma hamiltoni"	"5"
"365"	"Leiopelma pakeka"	"4"
"366"	"Leptodactylus nesiotus"	"0"
"367"	"Leptodactylus pascoensis"	"4"
"368"	"Leptodactylus peritoaktites"	"2"
"369"	"Physalaemus atlanticus"	"0"
"370"	"Heleioporus australiacus"	"12"
"371"	"Aglyptodactylus laticeps"	"6"
"372"	"Boehmantis microtympanum"	"6"
"373"	"Boophis andohahela"	"6"
"374"	"Boophis andreonei"	"5"
"375"	"Boophis blommersae"	"6"
"376"	"Boophis brachychir"	"5"
"377"	"Boophis englaenderi"	"6"
"378"	"Boophis fayi"	"6"
"379"	"Boophis majori"	"6"
"380"	"Boophis miniatus"	"6"
"381"	"Boophis popi"	"7"
"382"	"Boophis spinophis"	"7"
"383"	"Boophis ulftunni"	"7"
"384"	"Boophis vittatus"	"6"
"385"	"Gephyromantis ambohitra"	"6"
"386"	"Gephyromantis cornutus"	"6"
"387"	"Gephyromantis enki"	"5"
"388"	"Gephyromantis horridus"	"6"
"389"	"Gephyromantis rivicola"	"6"
"390"	"Gephyromantis runewsweeki"	"3"
"391"	"Gephyromantis salegy"	"6"
"392"	"Gephyromantis schilfi"	"6"
"393"	"Gephyromantis silvanus"	"6"
"394"	"Gephyromantis spiniferus"	"6"
"395"	"Gephyromantis striatus"	"6"
"396"	"Gephyromantis tahotra"	"5"
"397"	"Gephyromantis tandroka"	"6"
"398"	"Guibemantis kathrinae"	"5"
"399"	"Guibemantis tasifotsy"	"6"
"400"	"Mantella madagascariensis"	"6"
"401"	"Mantella manery"	"6"
"402"	"Mantella pulchra"	"6"
"403"	"Mantidactylus delormei"	"2"
"404"	"Mantidactylus noralottae"	"0"
"405"	"Spinomantis guibei"	"5"
"406"	"Spinomantis massi"	"5"
"407"	"Spinomantis tavaratra"	"5"
"408"	"Borneophrys edwardinae"	"2"
"409"	"Brachytarsophrys intermedia"	"5"
"410"	"Leptobrachella baluensis"	"3"
"411"	"Leptobrachella brevicrus"	"0"
"412"	"Leptobrachella parva"	"2"
"413"	"Leptobrachella serasanae"	"2"
"414"	"Leptobrachium banae"	"6"
"415"	"Leptobrachium gunungense"	"0"
"416"	"Leptobrachium hainanense"	"7"
"417"	"Leptobrachium leucops"	"3"
"418"	"Leptolalax arayai"	"2"
"419"	"Leptolalax firthi"	"2"
"420"	"Leptolalax hamidi"	"2"
"421"	"Leptolalax kajangensis"	"0"
"422"	"Leptolalax pictus"	"2"
"423"	"Megophrys auralensis"	"2"
"424"	"Megophrys giganticus"	"3"
"425"	"Megophrys nankiangensis"	"1"
"426"	"Megophrys stejnegeri"	"4"
"427"	"Ophryophryne synoria"	"2"
"428"	"Oreolalax granulosus"	"1"
"429"	"Oreolalax jingdongensis"	"1"
"430"	"Oreolalax major"	"3"
"431"	"Oreolalax multipunctatus"	"4"
"432"	"Oreolalax rhodostigmatus"	"2"
"433"	"Scutiger gongshanensis"	"3"
"434"	"Scutiger liupanensis"	"1"
"435"	"Scutiger nepalensis"	"4"
"436"	"Scutiger ruginosus"	"0"
"437"	"Scutiger tuberculatus"	"1"
"438"	"Micrixalus nudis"	"2"
"439"	"Micrixalus phyllophilus"	"2"
"440"	"Micrixalus saxicola"	"4"
"441"	"Anodonthyla montana"	"2"
"442"	"Austrochaperina novaebritanniae"	"1"
"443"	"Cophixalus aenigma"	"0"
"444"	"Cophixalus nubicola"	"2"
"445"	"Cophixalus saxatilis"	"3"
"446"	"Cophyla occultans"	"6"
"447"	"Copiula minor"	"3"
"448"	"Ctenophryne barbatula"	"1"
"449"	"Dasypops schirchi"	"5"
"450"	"Gastrophrynoides borneensis"	"1"
"451"	"Hypopachus barberi"	"2"
"452"	"Kalophrynus minusculus"	"2"
"453"	"Kalophrynus intermedius"	"1"
"454"	"Kalophrynus punctatus"	"1"
"455"	"Kaloula kalingensis"	"4"
"456"	"Kaloula rigida"	"9"
"457"	"Microhyla maculifera"	"1"
"458"	"Oreophryne anulata"	"4"
"459"	"Oreophryne celebensis"	"3"
"460"	"Oreophryne variabilis"	"1"
"461"	"Plethodontohyla brevipes"	"5"
"462"	"Rhombophryne mangabensis"	"1"
"463"	"Rhombophryne staffordi"	"2"
"464"	"Scaphiophryne marmorata"	"8"
"465"	"Uperodon nagaoi"	"0"
"466"	"Uperodon triangularis"	"3"
"467"	"Crinia tinnula"	"10"
"468"	"Geocrinia vitellina"	"5"
