"species_list"	"threat_code"
"200"	"Pristimantis nyctophylax"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"201"	"Pristimantis ornatissimus"	"2.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 4.1 5.3 5.3.5 9.3 9.3.4"
"202"	"Pristimantis orpacobates"	"2.1 2.1.2 2.3 2.3.2 6.2 7.1 7.1.3 9.3 9.3.4"
"203"	"Pristimantis pataikos"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"204"	"Pristimantis penelopus"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2"
"205"	"Pristimantis petersi"	"2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 9.3 9.3.4"
"206"	"Pristimantis phalarus"	"4.1"
"207"	"Pristimantis platychilus"	"2.1 2.1.2"
"208"	"Pristimantis polemistes"	""
"209"	"Pristimantis pugnax"	"1.1 1.2 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1.1 9.1 9.1.3 9.3 9.3.4"
"210"	"Pristimantis quantus"	"4.1"
"211"	"Pristimantis quinquagesimus"	"1.1 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1.2 9.1 9.1.3 9.3 9.3.4"
"212"	"Pristimantis repens"	"10.1"
"213"	"Pristimantis rhodostichus"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"214"	"Pristimantis rosadoi"	"1.1 1.2 2.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 9.3 9.3.4"
"215"	"Pristimantis ruedai"	"2.1 2.1.2 5.3 5.3.5 8.1 8.1.2"
"216"	"Pristimantis schultei"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2"
"217"	"Pristimantis serendipitus"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"218"	"Pristimantis signifer"	"2.1 2.1.2 4.1 5.4 5.4.6 8.1 8.1.2"
"219"	"Pristimantis supernatis"	"1.1 1.2 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 9.1 9.1.3 9.3 9.3.4"
"220"	"Pristimantis turpinorum"	""
"221"	"Pristimantis ventriguttatus"	"2.1 2.1.2"
"222"	"Pristimantis verecundus"	"1.1 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1.2 9.1 9.1.3 9.3 9.3.4"
"223"	"Pristimantis versicolor"	"1.1 1.2 2.1 2.1.2 2.1.3 2.3 2.3.4 3.2 5.3 5.3.5 9.3 9.3.4"
"224"	"Pristimantis vertebralis"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"225"	"Pristimantis xylochobates"	"4.1"
"226"	"Psychrophrynella adenopleura"	"1.1 11.2 2.1 2.1.2 2.3 2.3.2"
"227"	"Psychrophrynella ankohuma"	"11.2"
"228"	"Psychrophrynella bagrecito"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"229"	"Psychrophrynella chacaltaya"	"11.2 2.1 2.1.2 5.3 5.3.5"
"230"	"Psychrophrynella illampu"	"11.2"
"231"	"Psychrophrynella kempffi"	"1.1 11.2 2.1 2.1.2 5.3 5.3.5"
"232"	"Psychrophrynella pinguis"	"11.2 2.1 2.1.2"
"233"	"Psychrophrynella quimsacruzis"	"11.2 3.2"
"234"	"Psychrophrynella wettsteini"	""
"235"	"Strabomantis anatipes"	"1.1 2.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 9.3 9.3.4"
"236"	"Strabomantis biporcatus"	"2.1 2.1.2"
"237"	"Strabomantis cheiroplethus"	"2.1 2.1.2 8.1 8.1.2"
"238"	"Strabomantis cornutus"	"1.1 11.5 1.2 2.1 2.1.2 2.1.3 2.2 2.2 2.2.1 2.2.2 2.3 2.3.2 2.3.3 5.3 5.3.5 9.1 9.1.3 9.2 9.2 9.2.1 9.2.3 9.3 9.3.4"
"239"	"Strabomantis ingeri"	"2.1 2.1.4 2.3 2.3.2 5.3 5.3.5"
"240"	"Strabomantis necerus"	"2.1 2.1.2 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1.2 9.3 9.3.4"
"241"	"Strabomantis necopinus"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"242"	"Tachiramantis douglasi"	"2.1 2.1.4 2.3 2.3.4"
"243"	"Yunganastes ashkapara"	"5.3 5.3.5"
"244"	"Cycloramphus acangatan"	"2.1 2.1.2 2.1.3 2.2 2.2.2 2.3 2.3.2 2.3.3 5.3 5.3.5"
"245"	"Rhinoderma darwinii"	"1.1 11.2 11.5 2.1 2.1.2 2.1.3 2.2 2.2.2 2.3 2.3.2 5.3 5.3.5 7.1 7.1.3 8.1 8.1.2 9.3 9.3.4"
"246"	"Thoropa petropolitana"	"1.1 1.3 5.3 5.3.5 7.1 7.1.3 8.1 8.1.2"
