"species_list"	"threat_count"
"271"	"Amietia hymenopus"	"3"
"272"	"Amietia tenuoplicata"	"5"
"273"	"Arthroleptella drewesii"	"3"
"274"	"Arthroleptella landdrosia"	"3"
"275"	"Arthroleptella lightfooti"	"5"
"276"	"Cacosternum capense"	"8"
"277"	"Poyntonia paludicola"	"4"
"278"	"Amolops daiyunensis"	"4"
"279"	"Amolops lifanensis"	"1"
"280"	"Amolops viridimaculatus"	"3"
"281"	"Chalcorana macrops"	"2"
"282"	"Clinotarsus curtipes"	"4"
"283"	"Glandirana tientaiensis"	"6"
"284"	"Hylarana banjarana"	"3"
"285"	"Hylarana chitwanensis"	"2"
"286"	"Hylarana moellendorffi"	"4"
"287"	"Hylarana similis"	"3"
"288"	"Indosylvirana temporalis"	"7"
"289"	"Lithobates areolatus"	"5"
"290"	"Lithobates capito"	"8"
"291"	"Lithobates juliani"	"0"
"292"	"Lithobates neovolcanicus"	"5"
"293"	"Meristogenys kinabaluensis"	"2"
"294"	"Meristogenys phaeomerus"	"1"
"295"	"Meristogenys poecilus"	"2"
"296"	"Meristogenys whiteheadi"	"2"
"297"	"Odorrana chapaensis"	"3"
"298"	"Odorrana grahami"	"5"
"299"	"Odorrana lungshengensis"	"3"
"300"	"Pelophylax caralitanus"	"3"
"301"	"Pelophylax nigromaculatus"	"7"
"302"	"Rana boylii"	"4"
"303"	"Rana cascadae"	"5"
"304"	"Rana iberica"	"10"
"305"	"Sanguirana luzonensis"	"7"
"306"	"Sylvirana mortenseni"	"2"
"307"	"Staurois tuberilinguis"	"2"
"308"	"Feihyla kajau"	"1"
"309"	"Feihyla palpebralis"	"5"
"310"	"Gracixalus supercornutus"	"3"
"311"	"Philautus everetti"	"1"
"312"	"Philautus hosii"	"1"
"313"	"Philautus longicrus"	"2"
"314"	"Philautus mjobergi"	"0"
"315"	"Pseudophilautus rus"	"3"
"316"	"Pseudophilautus sordidus"	"4"
"317"	"Pseudophilautus stictomerus"	"3"
"318"	"Raorchestes beddomii"	"0"
"319"	"Rhacophorus baluensis"	"1"
"320"	"Rhacophorus bifasciatus"	"2"
"321"	"Rhacophorus calcaneus"	"3"
"322"	"Rhacophorus dulitensis"	"1"
"323"	"Rhacophorus gauni"	"2"
"324"	"Rhacophorus gongshanensis"	"2"
"325"	"Rhacophorus harrissoni"	"1"
"326"	"Rhacophorus monticola"	"1"
"327"	"Rhacophorus nigropunctatus"	"2"
"328"	"Rhacophorus prasinatus"	"4"
"329"	"Rhacophorus reinwardtii"	"4"
"330"	"Rhacophorus rufipes"	"1"
"331"	"Rhacophorus taipeianus"	"1"
"332"	"Rhacophorus zhaojuensis"	"4"
"333"	"Theloderma pictum"	"2"
"334"	"Theloderma rhododiscus"	"2"
"335"	"Spea hammondii"	"8"
"336"	"Telmatobius atahualpai"	"3"
"337"	"Telmatobius bolivianus"	"7"
"338"	"Telmatobius jelskii"	"4"
"339"	"Telmatobius simonsi"	"5"
"340"	"Ambystoma barbouri"	"8"
"341"	"Dicamptodon ensatus"	"5"
"342"	"Amphiuma pholeter"	"6"
"343"	"Andrias japonicus"	"2"
"344"	"Cryptobranchus alleganiensis"	"12"
"345"	"Iranodon persicus"	"6"
"346"	"Liua shihi"	"4"
"347"	"Aneides aeneus"	"4"
"348"	"Aneides ferreus"	"1"
"349"	"Aneides flavipunctatus"	"1"
"350"	"Aneides vagrans"	"3"
"351"	"Aquiloeurycea cephalica"	"4"
"352"	"Batrachoseps robustus"	"2"
"353"	"Bolitoglossa borburata"	"0"
"354"	"Bolitoglossa cuchumatana"	"1"
"355"	"Bolitoglossa dofleini"	"7"
"356"	"Bolitoglossa hartwegi"	"3"
"357"	"Bolitoglossa helmrichi"	"2"
"358"	"Bolitoglossa hermosa"	"2"
"359"	"Bolitoglossa lincolni"	"4"
"360"	"Bolitoglossa macrinii"	"3"
"361"	"Bolitoglossa odonnelli"	"3"
"362"	"Bolitoglossa platydactyla"	"3"
"363"	"Bolitoglossa tatamae"	"0"
"364"	"Bolitoglossa walkeri"	"0"
"365"	"Chiropterotriton priscus"	"2"
"366"	"Desmognathus abditus"	"1"
"367"	"Desmognathus aeneus"	"2"
"368"	"Eurycea tynerensis"	"8"
"369"	"Nototriton picadoi"	"3"
"370"	"Nototriton richardi"	"3"
"371"	"Oedipina uniformis"	"0"
"372"	"Plethodon caddoensis"	"2"
"373"	"Plethodon elongatus"	"1"
"374"	"Plethodon jordani"	"3"
"375"	"Plethodon larselli"	"3"
"376"	"Plethodon neomexicanus"	"4"
"377"	"Plethodon nettingi"	"5"
"378"	"Plethodon ouachitae"	"1"
"379"	"Plethodon punctatus"	"2"
"380"	"Plethodon virginia"	"1"
"381"	"Speleomantes ambrosii"	"3"
"382"	"Speleomantes imperialis"	"4"
"383"	"Speleomantes italicus"	"4"
"384"	"Speleomantes strinatii"	"5"
"385"	"Necturus lewisi"	"4"
"386"	"Rhyacotriton cascadae"	"1"
"387"	"Rhyacotriton kezeri"	"1"
"388"	"Calotriton asper"	"7"
"389"	"Liangshantriton taliangensis"	"1"
"390"	"Notophthalmus perstriatus"	"8"
"391"	"Ommatotriton ophryticus"	"11"
"392"	"Paramesotriton caudopunctatus"	"4"
"393"	"Paramesotriton hongkongensis"	"4"
"394"	"Pleurodeles waltl"	"10"
"395"	"Salamandra infraimmaculata"	"6"
"396"	"Tylototriton asperrimus"	"6"
"397"	"Tylototriton shanjing"	"3"
"398"	"Triturus dobrogicus"	"9"
"399"	"Triturus pygmaeus"	"8"
