"species_list"	"threat_count"
"574"	"Pristimantis actinolaimus"	"3"
"575"	"Pristimantis acutirostris"	"2"
"576"	"Pristimantis angustilineatus"	"2"
"577"	"Pristimantis atratus"	"2"
"578"	"Pristimantis aureoventris"	"2"
"579"	"Pristimantis bacchus"	"2"
"580"	"Pristimantis balionotus"	"6"
"581"	"Pristimantis baryecuus"	"6"
"582"	"Pristimantis bellona"	"1"
"583"	"Pristimantis cabrerai"	"2"
"584"	"Pristimantis cacao"	"1"
"585"	"Pristimantis calcaratus"	"1"
"586"	"Pristimantis capitonis"	"2"
"587"	"Pristimantis chrysops"	"2"
"588"	"Pristimantis colomai"	"6"
"589"	"Pristimantis cosnipatae"	"2"
"590"	"Pristimantis cremnobates"	"6"
"591"	"Pristimantis crenunguis"	"6"
"592"	"Pristimantis cryophilius"	"2"
"593"	"Pristimantis cryptomelas"	"2"
"594"	"Pristimantis degener"	"6"
"595"	"Pristimantis deinops"	"4"
"596"	"Pristimantis devillei"	"4"
"597"	"Pristimantis dissimulatus"	"4"
"598"	"Pristimantis dorsopictus"	"2"
"599"	"Pristimantis eugeniae"	"1"
"600"	"Pristimantis euphronides"	"5"
"601"	"Pristimantis fasciatus"	"3"
"602"	"Pristimantis festae"	"6"
"603"	"Pristimantis fetosus"	"4"
"604"	"Pristimantis gentryi"	"4"
"605"	"Pristimantis ginesi"	"4"
"606"	"Pristimantis gladiator"	"2"
"607"	"Pristimantis glandulosus"	"3"
"608"	"Pristimantis helvolus"	"3"
"609"	"Pristimantis hernandezi"	"3"
"610"	"Pristimantis ignicolor"	"3"
"611"	"Pristimantis incanus"	"5"
"612"	"Pristimantis insignitus"	"4"
"613"	"Pristimantis johannesdei"	"2"
"614"	"Pristimantis jorgevelosai"	"5"
"615"	"Pristimantis katoptroides"	"4"
"616"	"Pristimantis lancinii"	"4"
"617"	"Pristimantis lemur"	"3"
"618"	"Pristimantis lividus"	"4"
"619"	"Pristimantis loustes"	"6"
"620"	"Pristimantis maculosus"	"3"
"621"	"Pristimantis mars"	"1"
"622"	"Pristimantis melanogaster"	"4"
"623"	"Pristimantis merostictus"	"4"
"624"	"Pristimantis mnionaetes"	"3"
"625"	"Pristimantis modipeplus"	"4"
"626"	"Pristimantis museosus"	"1"
"627"	"Pristimantis mutabilis"	"3"
"628"	"Pristimantis ocreatus"	"3"
"629"	"Pristimantis orestes"	"3"
"630"	"Pristimantis ornatus"	"1"
"631"	"Pristimantis paramerus"	"3"
"632"	"Pristimantis parectatus"	"3"
"633"	"Pristimantis pastazensis"	"4"
