"species_list"	"threat_code"
"149"	"Conraua goliath"	"1.1 2.1 2.1.2 5.1 5.1.1 5.3 5.3.5 9.3 9.3.2"
"150"	"Cophixalus mcdonaldi"	"11.1 1.3 5.3 5.3.5 6.1 7.1 7.1.3 8.1 8.1.1"
"151"	"Cophixalus monticola"	"11.1 1.3 4.2 5.3 5.3.5 6.1"
"152"	"Cophixalus neglectus"	"11.1 1.3 5.3 5.3.5 6.1 8.1 8.1.1"
"153"	"Cophyla alticola"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 7.1 7.1.3 8.1 8.1.2 8.4 8.4.2"
"154"	"Cophyla berara"	"2.1 2.1.1 2.1.2 8.4 8.4.2"
"155"	"Cophyla mavomavo"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1 8.1.1 8.1.2"
"156"	"Cophyla milloti"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.1 5.1.1 5.2 5.2.4 5.3 5.3.5 7.1 7.1.1 8.1 8.1 8.1.2 8.1.2"
"157"	"Cophyla noromalalae"	"2.1 2.1.2 5.3 5.3.3"
"158"	"Cophyla olgae"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.1 8.1 8.1 8.1.1 8.1.2"
"159"	"Cophyla rava"	"5.3 5.3.3 5.3.4 8.1 8.1.2"
"160"	"Cophyla tetra"	"1.1 2.1 2.1.2 2.3 2.3.2 5.2 5.2.4 5.3 5.3.5 8.4 8.4.2"
"161"	"Cophyla tsaratananaensis"	"1.1 11.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.1 7.1 7.1.1 8.1 8.1 8.1.1 8.1.2"
"162"	"Cornufer vitianus"	"8.1 8.1 8.1 8.1 8.1 8.1.2 8.1.2 8.1.2 8.1.2 8.1.2"
