"species_list"	"habitat_code"
"272"	"Exerodonta catracha"	"1.9 5.1 5.7"
"273"	"Exerodonta chimalapa"	"1.4 1.9 5.1"
"274"	"Fejervarya greenii"	"1.9 5.1 5.4 5.7"
"275"	"Fejervarya nicobariensis"	"4.6 5.4 5.8"
"276"	"Fejervarya nilagirica"	"14.1 14.6 15.2 1.6 1.9 5.1 5.8"
"277"	"Flectonotus fitzgeraldi"	"1.6 1.9"
"278"	"Gastrotheca bufona"	"1.9"
"279"	"Gastrotheca christiani"	"1.6 6"
"280"	"Gastrotheca cornuta"	"1.6 5.1"
"281"	"Gastrotheca espeletia"	"1.9 3.7 4.7 5.1 5.7 5.8"
"282"	"Gastrotheca litonedis"	"3.7 4.7 5.1 5.8"
"283"	"Gastrotheca orophylax"	"14.1 1.9"
"284"	"Gastrotheca ovifera"	"1.6 1.9"
"285"	"Gastrotheca pseustes"	"14.2 14.6 1.9 3.7 4.7 5.1 5.7 5.8"
"286"	"Gastrotheca psychrophila"	"3.7"
"287"	"Gastrotheca riobambae"	"14.1 14.4 14.5 14.6 15.2 15.9 1.9 3.7 4.7 5.1 5.2 5.7 5.8"
"288"	"Gastrotheca ruizi"	"1.9 5.7 5.8"
"289"	"Gastrotheca splendens"	"1.9"
"290"	"Gastrotheca stictopleura"	"14.2 14.4 14.6 15.2 1.9 5.7 5.8"
"291"	"Gastrotheca trachyceps"	"1.9 4.7"
"292"	"Geobatrachus walkeri"	"1.9"
"293"	"Gephyromantis atsingy"	"1.5 6 7.1"
"294"	"Gephyromantis azzurrae"	"1.5 5.1"
"295"	"Gephyromantis corvus"	"1.5 4.5 5.1 5.8"
"296"	"Gephyromantis eiselti"	"14.6 1.6 1.9"
"297"	"Gephyromantis hintelmannae"	"14.6 1.6 3.6"
"298"	"Gephyromantis klemmeri"	"1.6"
"299"	"Gephyromantis ranjomavo"	"1.9"
"300"	"Gephyromantis thelenae"	"14.3 1.6"
"301"	"Gephyromantis webbi"	"1.6 5.1"
"302"	"Gephyromantis zavona"	"1.6 1.9"
"303"	"Ghatixalus variabilis"	"14.3 1.9 5.1"
"304"	"Ghatophryne ornata"	"1.6 1.9 5.1"
"305"	"Gracixalus lumarius"	"1.9"
"306"	"Gracixalus quyeti"	"14.6 1.6 1.9"
"307"	"Grandisonia brevis"	"1.6 5.1 5.7 5.8"
"308"	"Guibemantis annulatus"	"1.6"
"309"	"Guibemantis wattersoni"	"1.6"
"310"	"Gyrinophilus gulolineatus"	"5.18"
"311"	"Gyrinophilus subterraneus"	"5.18 7.1"
"312"	"Heleophryne hewitti"	"3.8 4.4 5.1"
"313"	"Hemiphractus johnsoni"	"1.9"
"314"	"Hoplophryne rogersi"	"16 1.6 1.9"
"315"	"Hoplophryne uluguruensis"	"1.6 1.9"
"316"	"Hyalinobatrachium esmeralda"	"1.9 5.1"
"317"	"Hyalinobatrachium guairarepanense"	"1.6 5.1"
"318"	"Hyalinobatrachium pallidum"	"1.9 5.1"
"319"	"Hylarana mangyanum"	"1.5 1.6 5.1 5.7 5.8"
"320"	"Hylarana montivaga"	"1.9 5.1"
"321"	"Hyla suweonensis"	"15.7 5.4 5.7 5.8"
"322"	"Hyloscirtus charazani"	"1.5 5.1"
"323"	"Hyloscirtus denticulentus"	"1.9 5.1"
"324"	"Hyloscirtus lynchi"	"1.9 5.1"
"325"	"Hyloscirtus pantostictus"	"14.6 1.9 5.1"
"326"	"Hyloscirtus piceigularis"	"1.9 5.1"
"327"	"Hyloscirtus psarolaimus"	"1.9 5.1"
"328"	"Hyloscirtus simmonsi"	"1.9 5.1"
"329"	"Hyloscirtus staufferorum"	"1.9 5.1"
"330"	"Hyloxalus azureiventris"	"1.6 5.1"
"331"	"Hyloxalus cevallosi"	"1.6 1.9 5.1"
"332"	"Hyloxalus elachyhistus"	"1.5 1.6 1.9 5.1"
"333"	"Hyloxalus toachi"	"1.6 1.9 4.6 5.1"
"334"	"Hynobius chinensis"	"14.1 1.6 5.1 5.7 5.9"
"335"	"Hynobius dunni"	"1.4 15.7 5.1 5.2 5.7 5.8"
"336"	"Hynobius formosanus"	"1.4 5.1 5.9"
"337"	"Hynobius hidamontanus"	"1.4 14.3 5.1 5.4 5.9"
"338"	"Hynobius sonani"	"1.4 5.1"
"339"	"Hynobius takedai"	"1.4 15.7 5.1 5.7 5.9"
"340"	"Hynobius yangi"	"1.4 5.1"
"341"	"Hyperolius bobirensis"	"1.6 5.8"
"342"	"Hyperolius dintelmanni"	"1.9 5.1 5.7 5.8"
"343"	"Hyperolius kihangensis"	"1.9 5.4"
"344"	"Hyperolius leleupi"	"1.9 5.4"
"345"	"Hyperolius leucotaenius"	"1.9 5.4 5.7 5.8"
"346"	"Hyperolius nienokouensis"	"1.6 5.4 5.8"
"347"	"Hyperolius nimbae"	"14.6 1.6 5.4"
"348"	"Hyperolius pickersgilli"	"3.4 4.4 5.4 5.7 5.8"
"349"	"Hyperolius puncticulatus"	"1.5 1.6 3.6 5.7 5.8"
"350"	"Hyperolius rubrovermiculatus"	"14.6 1.6 5.4 5.8"
"351"	"Hyperolius thomensis"	"1.6 1.9"
"352"	"Hyperolius torrentis"	"1.6 5.1 6"
"353"	"Hyperolius ukwiva"	"1.9 4.7 5.4"
"354"	"Hypodactylus brunneus"	"4.7"
"355"	"Hypodactylus elassodiscus"	"1.9"
"356"	"Hypodactylus latens"	"1.9 3.7"
"357"	"Hypselotriton orphicus"	"14.4 14.6 15.2 1.6 1.9 5.1 5.5 5.7"
"358"	"Incilius cavifrons"	"1.6 1.9 5.1"
"359"	"Incilius gemmifer"	"1.5 5.1"
"360"	"Incilius ibarrai"	"14.2 1.9 5.4 5.7"
"361"	"Incilius leucomyos"	"1.6 1.9 5.1"
"362"	"Incilius perplexus"	"1.5 5.2"
"363"	"Incilius spiculatus"	"1.6 5.1"
"364"	"Incilius tacanensis"	"1.9 5.1"
"365"	"Incilius tutelarius"	"1.9 5.1"
"366"	"Indirana brachytarsus"	"1.6 1.8 1.9 5.1"
"367"	"Indirana diplosticta"	"1.6 1.8 1.9 5.1 5.4"
"368"	"Indirana leptodactyla"	"1.6 1.9 5.1"
"369"	"Ingerophrynus claviger"	"1.6 5.1"
"370"	"Ingerophrynus kumquat"	"1.8 5.4"
"371"	"Isthmohyla pictipes"	"1.9 5.1"
"372"	"Isthmura maxima"	"14.3 14.4 14.6 1.9"
"373"	"Ixalotriton niger"	"1.9 6 7.1"
"374"	"Kalophrynus cryptophonus"	"1.9"
"375"	"Kalophrynus palmatissimus"	"1.6"
"376"	"Kassina jozani"	"14.3 14.4 14.6 1.5 1.6 3.6 5.8"
"377"	"Laotriton laoensis"	"14.1 1.5 1.6 3.5 4.5 5.1"
"378"	"Leptobrachium boringii"	"1.4 14.1 14.4 4.4 5.1"
"379"	"Leptobrachium echinatum"	"1.9 5.1"
"380"	"Leptobrachium leishanense"	"1.6 1.9 5.1"
"381"	"Leptobrachium rakhinensis"	"1.9 5.1"
"382"	"Leptobrachium xanthops"	"1.9 5.1"
"383"	"Leptodactylodon mertensi"	"1.6 1.9 5.1 5.2 5.7 5.8 5.9"
"384"	"Leptodactylodon ornatus"	"1.6 1.9 5.1 6"
"385"	"Leptodactylodon perreti"	"1.9 5.1 5.2 5.7 6"
"386"	"Leptodactylodon stevarti"	"1.6 1.9 5.1"
"387"	"Leptodactylodon wildi"	"1.9 5.9"
"388"	"Leptolalax alpinus"	"1.9 5.1"
"389"	"Leptolalax applebyi"	"1.9 5.1"
"390"	"Leptolalax bidoupensis"	"1.9 5.1 5.7"
"391"	"Leptolalax melicus"	"1.6 5.1 5.2"
"392"	"Leptopelis anebos"	"1.9 4.7 5.1"
"393"	"Leptopelis parkeri"	"1.6 1.9 5.1 5.2"
"394"	"Leptopelis susanae"	"1.9 5.1"
"395"	"Leptopelis vermiculatus"	"1.6 1.9 5.1 5.7"
"396"	"Leptopelis xenodactylus"	"4.4 5.4 5.7 5.8"
"397"	"Limnonectes arathooni"	"1.9 5.1"
"398"	"Limnonectes microtympanum"	"1.9 5.1"
"399"	"Limnonectes namiyei"	"1.5 5.1"
"400"	"Limnonectes nitidus"	"1.9 5.1"
"401"	"Lithobates dunni"	"5.1 5.5 5.7"
"402"	"Lithobates johni"	"1.6 1.9 5.1"
"403"	"Lithobates onca"	"5.9"
"404"	"Litoria brevipalmata"	"14.2 1.5 15.5 3.5 5.8"
"405"	"Litoria cooloolensis"	"13.5 5.4 5.5 5.6 5.7 5.8"
"406"	"Litoria dayi"	"1.6 1.9 5.1"
"407"	"Litoria nannotis"	"1.6 5.1"
"408"	"Litoria raniformis"	"13.4 13.5 14.4 15.1 15.2 15.3 15.5 15.6 15.7 4.4 5.2 5.4 5.5 5.6 5.7"
"409"	"Litoria rheocola"	"1.6 1.9 5.1"
"410"	"Liuixalus ocellatus"	"1.6 1.9"
"411"	"Liuixalus romeri"	"14.3 15.2 1.6 5.1 5.2 5.4 5.7 5.8"
"412"	"Lyciasalamandra antalyana"	"1.4 3.8 6"
"413"	"Lyciasalamandra atifi"	"1.4 6"
"414"	"Lyciasalamandra fazilae"	"1.4 3.8"
"415"	"Lyciasalamandra flavimembris"	"1.4 3.8"
"416"	"Lynchius parkeri"	"1.9 3.7"
"417"	"Madecassophryne truebae"	"1.6 1.9 6"
"418"	"Mannophryne collaris"	"1.6 1.9 5.1"
"419"	"Mannophryne leonardoi"	"1.6 1.9 5.2"
"420"	"Mannophryne riveroi"	"1.6 5.1"
"421"	"Mannophryne trujillensis"	"1.9"
"422"	"Mannophryne yustizi"	"1.9 5.1"
"423"	"Mantella bernhardi"	"14.6 1.6 5.1 5.4"
"424"	"Mantella cowanii"	"1.9 4.7 5.1"
"425"	"Mantella crocea"	"1.6 1.8 5.4"
"426"	"Mantella expectata"	"1.5 5.1 5.2 5.4"
"427"	"Mantella haraldmeieri"	"1.6 5.1"
"428"	"Mantella viridis"	"14.6 1.5 5.1 5.2"
"429"	"Mantidactylus madecassus"	"1.9 4.7 5.1 6"
"430"	"Mantidactylus paidroa"	"1.6 5.1"
"431"	"Megastomatohyla mixomaculata"	"1.9 5.2"
"432"	"Megastomatohyla nubicola"	"1.9 5.1"
"433"	"Megophrys brachykolos"	"1.6 5.1 5.2"
"434"	"Megophrys ligayae"	"1.5 1.6 1.9 3.6 5.1 5.2"
"435"	"Melanobatrachus indicus"	"14.6 1.6 1.9 5.1"
"436"	"Melanophryniscus devincenzii"	"14.3 1.6 4.6 5.2 6"
"437"	"Mertensophryne anotis"	"1.6 1.9"
"438"	"Mertensophryne howelli"	"14.6 1.5"
"439"	"Micrixalus gadgili"	"1.6 5.1"
"440"	"Microhyla sholigari"	"1.6 1.9 5.1 5.4 5.7 5.8"
"441"	"Microhyla zeylanica"	"1.9 4.7 5.4 5.7 5.8"
"442"	"Micryletta steinegeri"	"14.1 14.3 15.5 15.9 1.6 5.8"
